"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Corey Kluber","Indians","20","7","2.89","33","33","2","1","0","0","0","215.0","842","179","75","69","25","34","0","3","2","0","222","2429"
"Dereck Rodriguez","Giants","5","4","2.89","19","19","0","0","0","0","0","112.0","458","93","39","36","9","33","2","7","1","0","82","14509"
"Anibal Sanchez","Braves","7","6","2.90","24","24","0","0","0","0","0","133.2","540","105","48","43","15","39","0","4","4","0","133","3284"
"Casey Kelly","Giants","0","2","2.93","3","3","0","0","0","0","0","15.1","69","22","7","5","2","1","0","0","0","1","9","9174"
"Jonathan Loaisiga","Yankees","2","0","3.00","4","4","0","0","0","0","0","18.0","74","15","6","6","1","8","0","0","0","0","21","19753"
"Mike Clevinger","Indians","13","8","3.02","32","32","1","1","0","0","0","200.0","810","164","71","67","21","67","0","4","4","0","207","12808"
"Noah Syndergaard","Mets","13","4","3.03","25","25","2","1","0","0","0","154.1","644","148","55","52","9","39","2","7","2","0","155","11762"
"Trevor Williams","Pirates","14","10","3.11","31","31","1","1","0","0","0","170.2","701","146","64","59","15","55","3","4","4","0","126","16977"
"Charlie Morton","Astros","15","3","3.13","30","30","0","0","0","0","0","167.0","695","130","63","58","18","64","0","16","4","0","201","4676"
"Patrick Corbin","Diamondbacks","11","7","3.15","33","33","1","1","0","0","0","200.0","800","162","70","70","15","48","3","5","8","0","246","9323"
"Chris Bassitt","Athletics","2","3","3.19","7","7","0","0","0","0","0","36.2","162","34","18","13","3","15","0","3","2","0","28","12304"
"Michael Wacha","Cardinals","8","2","3.20","15","15","0","0","0","0","0","84.1","355","68","36","30","9","36","0","2","2","1","71","14078"
"Jameson Taillon","Pirates","14","10","3.20","32","32","2","1","0","0","0","191.0","785","179","69","68","20","46","4","6","2","0","179","11674"
"Zack Greinke","Diamondbacks","15","11","3.21","33","33","0","0","0","0","0","207.2","839","181","77","74","28","43","3","6","4","0","199","1943"
"Johnny Cueto","Giants","3","2","3.23","9","9","0","0","0","0","0","53.0","214","46","19","19","8","13","0","5","2","0","38","6893"
"Madison Bumgarner","Giants","6","7","3.26","21","21","0","0","0","0","0","129.2","551","118","51","47","14","43","3","5","3","1","109","5524"
"Brad Keller","Royals","8","5","3.28","20","20","1","0","0","0","0","118.0","494","116","45","43","6","43","0","2","6","0","83","15734"
"Zack Wheeler","Mets","12","7","3.31","29","29","0","0","0","0","0","182.1","744","150","69","67","14","55","0","9","2","1","179","10310"
"Mike Fiers","- - -","12","7","3.31","30","30","0","0","0","0","0","168.2","696","159","65","62","30","37","1","7","4","0","136","7754"
"Shohei Ohtani","Angels","4","2","3.31","10","10","0","0","0","0","0","51.2","211","38","19","19","6","22","0","1","5","0","63","19755"
"Jon Lester","Cubs","18","6","3.32","32","32","0","0","0","0","0","181.2","761","174","75","67","24","64","1","6","4","0","149","4930"
"Edwin Jackson","Athletics","6","3","3.33","17","17","0","0","0","0","0","92.0","381","75","37","34","12","37","1","2","5","1","68","1841"
"Carlos Carrasco","Indians","16","9","3.33","30","30","2","0","0","0","0","186.2","759","169","75","69","21","39","4","6","9","0","221","6632"
"Touki Toussaint","Braves","2","1","3.33","5","5","0","0","0","0","0","27.0","111","16","10","10","1","17","0","2","1","0","29","16929"
"Jack Flaherty","Cardinals","8","9","3.34","28","28","0","0","0","0","0","151.0","615","108","59","56","20","59","3","11","6","0","182","17479"
"Ryne Stanek","Rays","0","2","3.38","29","29","0","0","0","0","0","40.0","162","28","15","15","6","17","0","1","2","0","53","15947"
"Ross Stripling","Dodgers","8","6","3.39","21","21","0","0","0","0","0","106.1","438","110","41","40","18","16","1","1","3","0","119","13273"
"Luis Severino","Yankees","19","8","3.39","32","32","1","1","0","0","0","191.1","780","173","76","72","19","46","0","5","8","0","220","15890"
"Carlos Martinez","Cardinals","6","6","3.41","18","18","0","0","0","0","0","100.1","445","89","45","38","5","49","2","11","5","0","98","11682"
"Jaime Barria","Angels","10","9","3.41","26","26","0","0","0","0","0","129.1","537","117","50","49","17","47","0","6","3","1","98","18356"
"Kyle Hendricks","Cubs","14","11","3.44","33","33","0","0","0","0","0","199.0","812","184","82","76","22","44","4","9","0","0","161","12049"
"Jarlin Garcia","Marlins","1","1","3.44","7","7","0","0","0","0","0","34.0","135","23","14","13","7","13","0","0","0","1","22","18282"
"Sandy Alcantara","Marlins","2","3","3.44","6","6","0","0","0","0","0","34.0","146","25","13","13","3","23","0","2","0","0","30","18684"
"Jeremy Hellickson","Nationals","5","3","3.45","19","19","0","0","0","0","0","91.1","370","78","41","35","11","20","1","8","2","1","65","4371"
"Taijuan Walker","Diamondbacks","0","0","3.46","3","3","0","0","0","0","0","13.0","56","15","5","5","1","5","0","0","0","0","9","11836"
"Jhoulys Chacin","Brewers","15","8","3.50","35","35","0","0","0","0","0","192.2","796","153","83","75","18","71","3","11","5","0","156","2608"
"Michael Soroka","Braves","2","1","3.51","5","5","0","0","0","0","0","25.2","113","30","14","10","1","7","0","0","2","0","21","18383"
"Chase De Jong","Twins","1","1","3.57","4","4","0","0","0","0","0","17.2","74","18","9","7","3","6","0","0","2","0","13","15036"
"Adrian Sampson","Rangers","0","3","3.57","4","4","0","0","0","0","0","22.2","90","20","10","9","5","4","0","2","2","1","14","13339"
"David Price","Red Sox","16","7","3.58","30","30","1","0","0","0","0","176.0","722","151","75","70","25","50","0","10","1","0","177","3184"
"Sean Manaea","Athletics","12","9","3.59","27","27","1","1","0","0","0","160.2","654","141","67","64","21","32","1","8","9","0","108","15873"
"John Gant","Cardinals","5","6","3.61","19","19","0","0","0","0","0","97.1","414","79","45","39","8","48","3","2","5","0","81","13684"
"Kyle Gibson","Twins","10","13","3.62","32","32","0","0","0","0","0","196.2","826","177","88","79","23","79","2","4","8","0","179","10123"
"Jordan Montgomery","Yankees","2","0","3.62","6","6","0","0","0","0","0","27.1","116","25","11","11","3","12","0","0","0","0","23","16511"
"Matt Wisler","Braves","1","1","3.63","3","3","0","0","0","0","0","17.1","70","16","7","7","2","5","0","0","0","0","13","12804"
"Wade LeBlanc","Mariners","9","5","3.64","27","27","0","0","0","0","0","148.1","602","135","67","60","22","37","1","2","0","0","118","5221"
"CC Sabathia","Yankees","9","7","3.65","29","29","0","0","0","0","0","153.0","665","150","72","62","19","51","0","11","3","0","140","404"
"J.A. Happ","- - -","17","6","3.65","31","31","0","0","0","0","0","177.2","733","150","81","72","27","51","0","9","4","1","193","7410"
"Alex Wood","Dodgers","8","7","3.65","27","27","0","0","0","0","0","148.0","622","141","68","60","14","39","5","7","2","1","131","13781"
"Garrett Richards","Angels","5","4","3.66","16","16","0","0","0","0","0","76.1","324","64","43","31","11","34","0","1","15","0","87","9784"
"Derek Holland","Giants","7","9","3.67","30","30","0","0","0","0","0","161.2","687","147","72","66","18","64","5","3","2","1","153","4141"
"Mike Montgomery","Cubs","5","5","3.69","19","19","0","0","0","0","0","97.2","420","104","43","40","8","28","3","6","4","0","70","4869"
"Rich Hill","Dodgers","11","5","3.69","24","24","0","0","0","0","0","131.2","542","108","57","54","20","39","3","8","2","1","148","4806"
"Austin Bibens-Dirkx","Rangers","2","2","3.71","6","6","0","0","0","0","0","34.0","145","36","16","14","3","9","0","4","1","0","26","9559"
"Dallas Keuchel","Astros","12","11","3.74","34","34","1","0","0","0","0","204.2","874","211","92","85","18","58","0","2","9","0","153","9434"
"Stephen Strasburg","Nationals","10","7","3.74","22","22","0","0","0","0","0","130.0","544","118","59","54","18","38","2","8","5","1","156","10131"
"Masahiro Tanaka","Yankees","12","6","3.75","27","27","1","1","0","0","0","156.0","635","141","68","65","25","35","0","7","3","0","159","15764"
"James Paxton","Mariners","11","6","3.76","28","28","2","1","0","0","0","160.1","645","134","67","67","23","42","0","1","8","0","208","11828"
"German Marquez","Rockies","14","11","3.77","33","33","0","0","0","0","0","196.0","817","179","90","82","24","57","5","8","8","0","230","15038"
"Nathan Eovaldi","- - -","6","7","3.77","21","21","0","0","0","0","0","107.1","440","102","53","45","14","18","1","3","4","0","97","9132"
"Cole Hamels","- - -","9","12","3.78","32","32","1","0","0","0","0","190.2","806","176","93","80","29","65","0","19","7","3","188","4972"
"Eduardo Rodriguez","Red Sox","12","4","3.79","23","23","0","0","0","0","0","123.1","527","114","53","52","15","43","1","4","1","0","137","13164"
"Jose Berrios","Twins","12","11","3.84","32","32","2","1","0","0","0","192.1","797","159","83","82","25","61","1","13","2","0","202","14168"
"Kenta Maeda","Dodgers","6","7","3.85","20","20","0","0","0","0","0","107.2","458","97","50","46","11","40","4","2","2","2","127","18498"
"Ryan Borucki","Blue Jays","4","6","3.87","17","17","0","0","0","0","0","97.2","415","96","48","42","7","33","3","2","2","0","67","16350"
"Trevor Cahill","Athletics","6","4","3.91","20","20","0","0","0","0","0","106.0","435","89","51","46","8","40","0","4","8","0","98","6249"
"Reynaldo Lopez","White Sox","7","10","3.91","32","32","0","0","0","0","0","188.2","799","165","88","82","25","75","1","10","7","3","151","16400"
"Sean Newcomb","Braves","12","9","3.91","30","30","0","0","0","0","0","163.1","693","137","74","71","18","80","1","1","4","0","159","16943"
"Seth Lugo","Mets","1","2","3.91","5","5","0","0","0","0","0","23.0","102","24","14","10","4","6","1","0","0","0","27","12447"
"Kevin Gausman","- - -","10","11","3.92","31","31","0","0","0","0","0","183.2","776","189","85","80","26","50","1","7","6","0","148","14107"
"Lance McCullers Jr.","Astros","10","6","3.93","22","22","0","0","0","0","0","126.0","520","100","60","55","12","50","0","7","13","1","138","14120"
"Robbie Ray","Diamondbacks","6","2","3.93","24","24","0","0","0","0","0","123.2","526","97","55","54","19","70","3","5","5","0","165","11486"
"Chase Anderson","Brewers","9","8","3.93","30","30","0","0","0","0","0","158.0","644","131","71","69","30","57","0","7","1","0","128","6895"
"Julio Teheran","Braves","9","9","3.94","31","31","0","0","0","0","0","175.2","724","122","80","77","26","84","3","9","2","3","162","6797"
"Antonio Senzatela","Rockies","4","5","3.95","13","13","0","0","0","0","0","73.0","309","71","32","32","8","24","1","2","1","0","55","15488"
"Frankie Montas","Athletics","5","4","3.96","11","11","0","0","0","0","0","63.2","278","73","34","28","5","21","0","2","5","0","43","14309"
"Jake Arrieta","Phillies","10","11","3.96","31","31","0","0","0","0","0","172.2","724","165","93","76","21","57","0","7","11","1","138","4153"
"Christian Bergman","Mariners","0","1","3.97","2","2","0","0","0","0","0","11.1","44","8","5","5","2","2","0","0","0","0","5","10925"
